Brand, Product Name, Shipping
ASUS,ASUS GeForce GTX 1080 Ti AC-ORIGINS-ROG-STRIX-GTX1080TI Assassin's Creed Origins Edition Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1080 DirectX 12 GV-N1080IX-8GD Video Card,Free Shipping
ZOTAC,ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510A-10L Video Card,$6.39 Shipping
GIGABYTE,GIGABYTE Radeon RX 580 DirectX 12 GV-RX580GAMING-8GD Video Card,$4.99 Shipping
GIGABYTE,GIGABYTE AORUS GeForce GTX 1060 6G REV 2.0| GV-N1060AORUS-6GD R2,Free Shipping
ASUS,ASUS Dual series GeForce GTX 1060 DUAL-GTX1060-O3G Video Card,Free Shipping
MSI,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 8G OC Video Card,$3.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1080 Ti AMP Extreme Core 11GB GDDR5X 352-bit Gaming Graphics Card VR Ready 16+2 Power Phase Freeze Fan Stop IceStorm Cooling Spectra Lighting ZT-P10810F-10P,$4.99 Shipping
EVGA,EVGA GeForce GTX 1080 FTW HYBRID GAMING| 08G-P4-6288-KR| 8GB GDDR5X| RGB LED| All-In-One Watercooling with 10CM FAN| 10 Power Phases| Double BIOS| DX12 OSD Support (PXOC),$4.99 Shipping
XFX,XFX RS XXX Edition Radeon RX 570 DirectX 12 RX-570P427D6 4GB OC+ 1284 MHz XFX Custom Backplate 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,$4.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1070 DirectX 12 GV-N1070G1 GAMING-8GD R2 Video Card,$4.99 Shipping
PNY Technologies  Inc.,PNY GeForce GTX 1060 DirectX 12 VCGGTX10606XGPB-OC2 Video Card,Free Shipping
